更新时间,#genre#
2025-08-02 15:42:05,url
CCTV央视,#genre#
CCTV,http://113.207.84.197:8090/__cl/cg:live/__c/CCTV4K/__op/default/__f/index.m3u8
CCTV,http://159.75.85.63:8654/xx8k50fps.php
CCTV,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8
CCTV,rtp://239.3.1.245:2000
CCTV,https://tv.cry33.com/ys4k.php
CCTV,http://27.222.3.214/liveali-tp4K.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1981574683_-2118700426/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CCTV,http://58.222.30.156/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
CCTV,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/1.m3u8
CCTV,http://113.96.179.241/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV,http://58.222.30.156/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2020603465.m3u8
CCTV,http://159.75.85.63:5679/cctv4k.php
CCTV,http://159.75.85.63:8765/xxtv8k.php
CCTV,https://tv.cry33.com/ys4K.php
CCTV,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8
CCTV,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV  超,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
CCTV  超,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CCTV .com,http://39.135.133.157/PLTV/88888888/224/3221225547/index.m3u8
CCTV 01 综合,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV 3,http://58.53.152.170:9901/tsfile/live/0003_1.m3u8
CCTV 3,http://42.5.185.253:9901/tsfile/live/1002_1.m3u8
CCTV 3,http://36.40.237.21:9999/tsfile/live/0003_1.m3u8
CCTV 3,http://123.182.209.50:8088/tsfile/live/0003_1.m3u8
CCTV 3,http://171.118.234.233:9999/tsfile/live/0003_1.m3u8
CCTV 3,http://118.248.218.184:8088/tsfile/live/0003_1.m3u8
CCTV 3,http://183.185.252.241:9999/tsfile/live/0003_1.m3u8
CCTV 3,http://36.40.237.79:9999/tsfile/live/0003_1.m3u8
CCTV 3,http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8
CCTV 3,http://fxgm.fxjf.work:19901/tsfile/live/0003_1.m3u8
CCTV 3,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV 3,http://42.48.17.188:9901/tsfile/live/37203_1.m3u8
CCTV 3,http://222.137.228.139:808/hls/3/index.m3u8
CCTV 3,http://183.255.10.90:6610/200000001898/460000089800010212/1.m3u8
